Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Brenden Aaronson,MF,us United States,21,2000,1.2,0,0,0,3,3,0,3,1,2,0,0,0,9,0,1,0.0,Matches
2,Ali Abdi,DF,tn Tunisia,28,1993,2.1,1,0,0,5,0,1,5,4,5,0,0,0,17,9,5,64.3,Matches
3,Salis Abdul Samed,MF,gh Ghana,22,2000,2.8,0,0,0,5,2,0,2,4,2,0,0,0,15,0,3,0.0,Matches
4,Saud Abdulhamid,"DF,MF",sa Saudi Arabia,22,1999,3.0,1,0,0,7,5,0,9,2,2,0,1,0,14,4,6,40.0,Matches
5,Nawaf Al Abed,MF,sa Saudi Arabia,32,1990,1.0,1,0,0,2,2,0,2,1,0,0,0,0,2,0,1,0.0,Matches
6,Pape Abou Cissé,DF,sn Senegal,26,1995,1.2,0,0,0,1,0,0,0,2,0,0,0,0,2,2,3,40.0,Matches
7,Vincent Aboubakar,FW,cm Cameroon,30,1992,1.6,2,1,1,3,2,0,0,0,0,0,0,0,3,2,3,40.0,Matches
8,Abdulrahman Al-Aboud,"MF,DF",sa Saudi Arabia,27,1995,0.4,0,0,0,0,0,0,2,0,3,0,0,0,1,1,1,50.0,Matches
9,Zakaria Aboukhlal,"FW,MF",ma Morocco,22,2000,0.9,0,0,0,1,0,2,1,1,1,0,0,0,3,2,0,100.0,Matches
10,Kellyn Acosta,MF,us United States,26,1995,0.5,1,0,0,1,0,0,0,0,2,0,0,0,2,1,0,100.0,Matches
11,Marcos Acuña,"DF,FW",ar Argentina,30,1991,4.1,3,0,0,9,9,0,17,2,8,1,0,0,16,5,7,41.7,Matches
12,Tyler Adams,MF,us United States,23,1999,4.0,1,0,0,5,5,0,2,4,9,0,0,0,33,5,2,71.4,Matches
13,Sam Adekugbe,DF,ca Canada,27,1995,1.1,1,0,0,1,0,0,5,1,0,0,0,0,3,2,0,100.0,Matches
14,Michel Aebischer,"MF,FW",ch Switzerland,25,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
15,Akram Afif,FW,qa Qatar,25,1996,3.0,1,0,0,2,6,1,13,0,0,0,0,0,14,1,1,50.0,Matches
16,Nayef Aguerd,DF,ma Morocco,26,1996,3.9,0,0,0,2,0,1,0,4,2,0,0,1,18,5,2,71.4,Matches
17,Brandon Aguilera,MF,cr Costa Rica,18,2003,1.0,0,0,0,2,2,1,1,1,0,0,0,0,8,2,1,66.7,Matches
18,Homam Ahmed,DF,qa Qatar,22,1999,2.9,1,0,0,5,8,0,5,2,2,0,0,0,14,5,2,71.4,Matches
19,Manuel Akanji,DF,ch Switzerland,26,1995,4.0,1,0,0,4,1,0,1,3,2,0,0,0,18,9,2,81.8,Matches
20,Nathan Aké,DF,nl Netherlands,27,1995,5.3,1,0,0,4,6,0,0,8,3,0,0,0,21,10,12,45.5,Matches
21,Ahmed Alaaeldin,FW,qa Qatar,29,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
22,Jordi Alba,DF,es Spain,33,1989,2.9,0,0,0,4,3,1,14,3,4,1,0,0,20,0,2,0.0,Matches
23,Toby Alderweireld,DF,be Belgium,33,1989,3.0,0,0,0,0,0,0,2,0,2,0,0,0,9,1,2,33.3,Matches
24,Trent Alexander-Arnold,DF,eng England,23,1998,0.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
25,Almoez Ali,FW,qa Qatar,25,1996,2.5,1,0,0,2,2,3,0,1,0,0,0,0,6,2,9,18.2,Matches
26,Alisson,GK,br Brazil,29,1992,4.2,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100.0,Matches
27,Joe Allen,MF,wls Wales,32,1990,1.0,0,0,0,0,2,0,0,1,1,0,0,0,9,0,1,0.0,Matches
28,Thiago Almada,MF,ar Argentina,21,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
29,Roberto Alvarado,FW,mx Mexico,23,1998,0.2,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,100.0,Matches
30,Edson Álvarez,MF,mx Mexico,24,1997,1.9,1,0,0,4,1,1,0,4,2,0,0,0,10,11,5,68.8,Matches
31,Julián Álvarez,FW,ar Argentina,22,2000,5.2,0,0,0,13,2,5,3,0,2,1,0,0,21,2,9,18.2,Matches
32,Kevin Álvarez,DF,mx Mexico,23,1999,0.8,0,0,0,0,1,0,1,1,0,0,0,0,4,0,2,0.0,Matches
33,Dani Alves,DF,br Brazil,39,1983,1.3,0,0,0,5,2,0,6,2,4,0,0,0,9,1,1,50.0,Matches
34,Selim Amallah,MF,ma Morocco,25,1996,4.5,1,0,0,11,8,0,2,8,9,0,0,0,12,2,9,18.2,Matches
35,Daniel Amartey,DF,gh Ghana,27,1994,2.8,2,0,0,3,1,0,0,3,4,0,0,0,15,5,4,55.6,Matches
36,Ethan Ampadu,"MF,DF",wls Wales,21,2000,2.8,0,0,0,5,3,0,2,4,3,0,0,0,16,3,5,37.5,Matches
37,Sofyan Amrabat,MF,ma Morocco,25,1996,7.3,1,0,0,14,6,1,2,6,10,0,0,0,57,2,3,40.0,Matches
38,Abdulelah Al-Amri,DF,sa Saudi Arabia,25,1997,2.0,2,0,0,3,3,0,1,4,0,0,0,0,15,10,4,71.4,Matches
39,Joachim Andersen,DF,dk Denmark,26,1996,3.0,0,0,0,3,4,0,1,0,2,0,0,0,15,10,8,55.6,Matches
40,Karim Ansarifard,"FW,MF",ir IR Iran,32,1990,0.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0,Matches
41,Antony,FW,br Brazil,22,2000,1.9,0,0,0,2,5,0,10,1,0,0,0,0,12,1,2,33.3,Matches
42,Uriel Antuna,"FW,MF",mx Mexico,24,1997,0.9,0,0,0,0,1,2,7,0,3,0,0,0,1,0,2,0.0,Matches
43,Néstor Araujo,DF,mx Mexico,30,1991,1.0,1,0,0,2,0,0,2,3,1,0,0,0,6,0,0,,Matches
44,Takuma Asano,FW,jp Japan,27,1994,1.8,0,0,0,4,0,2,1,1,0,0,0,0,8,1,9,10.0,Matches
45,Marco Asensio,FW,es Spain,26,1996,2.5,0,0,0,3,3,0,8,0,1,0,0,0,3,0,2,0.0,Matches
46,Ali Assadalla,MF,qa Qatar,29,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
47,Lawrence Ati-Zigi,GK,gh Ghana,25,1996,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
48,Nathaniel Atkinson,DF,au Australia,23,1999,0.9,0,0,0,0,0,0,0,1,3,0,0,0,6,0,0,,Matches
49,Yahya Attiat Allah,DF,ma Morocco,27,1995,3.5,0,0,0,8,3,0,8,0,2,0,0,0,21,0,7,0.0,Matches
50,André Ayew,"MF,FW",gh Ghana,32,1989,2.2,1,0,0,2,6,1,0,0,1,0,0,0,6,3,13,18.8,Matches
51,Jordan Ayew,FW,gh Ghana,30,1991,1.5,0,0,0,2,5,0,8,1,3,0,0,0,8,0,5,0.0,Matches
52,Sardar Azmoun,FW,ir IR Iran,27,1995,1.4,0,0,0,1,1,1,0,0,0,0,0,0,3,4,5,44.4,Matches
53,César Azpilicueta,DF,es Spain,32,1989,1.5,0,0,0,2,0,0,3,1,0,0,0,0,5,2,2,50.0,Matches
54,Srđan Babić,DF,rs Serbia,26,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
55,Keanu Baccus,MF,au Australia,24,1998,1.3,0,0,0,4,1,0,0,2,1,0,0,0,11,1,3,25.0,Matches
56,Alexander Bah,DF,dk Denmark,24,1997,0.5,0,0,0,1,0,0,4,2,4,0,0,0,3,4,0,100.0,Matches
57,Hattan Bahebri,MF,sa Saudi Arabia,29,1992,0.0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
58,Alejandro Balde,DF,es Spain,18,2003,1.4,0,0,0,2,1,0,2,0,6,0,0,0,10,0,2,0.0,Matches
59,Gareth Bale,FW,wls Wales,32,1989,2.5,1,0,0,2,5,2,2,1,1,1,0,0,9,4,7,36.4,Matches
60,Fodé Ballo-Touré,DF,sn Senegal,25,1997,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,100.0,Matches
61,Badr Banoun,DF,ma Morocco,28,1993,0.6,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0.0,Matches
62,Borna Barišić,DF,hr Croatia,29,1992,1.3,1,0,0,5,2,0,11,0,1,0,0,0,3,6,2,75.0,Matches
63,Meshaal Barsham,GK,qa Qatar,24,1998,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
64,Christian Bassogog,MF,cm Cameroon,26,1995,0.3,1,0,0,0,1,0,2,1,0,0,0,0,2,0,0,,Matches
65,Michy Batshuayi,FW,be Belgium,28,1993,1.7,0,0,0,5,1,2,0,0,0,0,0,0,4,1,2,33.3,Matches
66,Jan Bednarek,DF,pl Poland,26,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
67,Aziz Behich,DF,au Australia,31,1990,4.0,1,0,0,3,3,0,5,3,3,0,0,0,22,2,2,50.0,Matches
68,Alireza Beiranvand,GK,ir IR Iran,29,1992,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
69,Jude Bellingham,MF,eng England,18,2003,4.6,0,0,0,5,5,0,4,5,15,0,0,0,31,6,9,40.0,Matches
70,Anis Ben Slimane,MF,tn Tunisia,21,2001,1.6,0,0,0,0,0,0,8,1,1,0,0,0,5,5,3,62.5,Matches
71,Jewison Bennette,MF,cr Costa Rica,17,2004,1.1,0,0,0,0,2,2,2,0,0,0,0,0,4,0,2,0.0,Matches
72,Rodrigo Bentancur,MF,uy Uruguay,24,1997,2.4,1,0,0,5,3,0,2,7,8,0,0,0,35,6,3,66.7,Matches
73,Bartosz Bereszyński,DF,pl Poland,29,1992,3.8,1,0,0,5,3,0,4,2,2,0,0,0,15,4,2,66.7,Matches
74,Steven Berghuis,MF,nl Netherlands,30,1991,2.2,1,0,0,4,0,0,13,0,1,0,0,0,8,1,2,33.3,Matches
75,Steven Bergwijn,FW,nl Netherlands,24,1997,2.4,1,0,0,2,4,0,0,0,1,0,0,0,4,0,0,,Matches
76,Krystian Bielik,MF,pl Poland,24,1998,2.4,0,0,0,5,4,0,0,5,3,0,1,0,10,6,4,60.0,Matches
77,Daley Blind,DF,nl Netherlands,32,1990,4.7,0,0,0,3,1,0,6,5,9,0,0,0,24,5,7,41.7,Matches
78,Celso Borges,MF,cr Costa Rica,34,1988,2.8,1,0,0,2,0,0,2,4,1,0,0,0,17,6,0,100.0,Matches
79,Milan Borjan,GK,ca Canada,34,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
80,Karim Boudiaf,MF,qa Qatar,31,1990,2.1,1,0,0,2,1,0,0,0,1,0,0,0,12,6,7,46.2,Matches
81,Sofiane Boufal,FW,ma Morocco,28,1993,5.3,1,0,0,11,14,2,7,2,5,0,0,0,20,3,7,30.0,Matches
82,Yassine Bounou,GK,ma Morocco,31,1991,6.3,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100.0,Matches
83,Martin Braithwaite,"FW,MF",dk Denmark,31,1991,1.1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3,25.0,Matches
84,Mohammed Al-Breik,DF,sa Saudi Arabia,29,1992,0.7,0,0,0,0,1,0,2,1,0,0,0,0,3,1,4,20.0,Matches
85,Gleison Bremer,DF,br Brazil,25,1997,1.2,0,0,0,2,0,0,0,1,1,0,0,0,9,5,0,100.0,Matches
86,Dylan Bronn,DF,tn Tunisia,26,1995,1.8,0,0,0,1,1,0,0,0,2,0,0,0,7,2,4,33.3,Matches
87,Marcelo Brozović,MF,hr Croatia,29,1992,6.1,1,0,0,12,11,0,4,4,7,0,0,0,45,6,4,60.0,Matches
88,Tajon Buchanan,"MF,DF",ca Canada,23,1999,2.9,1,0,0,6,6,2,8,3,1,0,0,0,14,1,2,33.3,Matches
89,Ante Budimir,FW,hr Croatia,30,1991,0.6,0,0,0,4,2,0,0,0,1,0,0,0,0,2,4,33.3,Matches
90,Osman Bukari,MF,gh Ghana,23,1998,0.7,0,0,0,1,1,0,1,1,0,0,0,0,2,1,2,33.3,Matches
91,Ali Al-Bulaihi,DF,sa Saudi Arabia,32,1989,2.4,1,0,0,1,1,0,0,3,2,0,0,0,5,3,3,50.0,Matches
92,Firas Al-Buraikan,"MF,FW",sa Saudi Arabia,22,2000,3.0,0,0,0,2,3,1,2,2,3,0,0,0,7,5,7,41.7,Matches
93,Sergio Busquets,MF,es Spain,33,1988,4.0,1,0,0,3,3,0,0,1,4,0,0,0,28,8,5,61.5,Matches
94,Martín Cáceres,DF,uy Uruguay,35,1987,1.0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
95,Moisés Caicedo,MF,ec Ecuador,20,2001,3.0,1,0,0,4,5,0,0,2,5,0,0,0,14,1,1,50.0,Matches
96,Francisco Calvo,DF,cr Costa Rica,29,1992,2.0,2,0,0,6,0,1,0,2,4,0,0,0,12,2,1,66.7,Matches
97,Eduardo Camavinga,DF,fr France,19,2002,1.6,0,0,0,2,8,0,2,3,9,0,0,0,15,2,0,100.0,Matches
98,Joel Campbell,"FW,MF",cr Costa Rica,29,1992,3.0,1,0,0,3,11,3,7,0,5,0,0,0,14,5,6,45.5,Matches
99,João Cancelo,DF,pt Portugal,28,1994,3.4,0,0,0,2,4,1,15,2,3,0,0,0,24,10,1,90.9,Matches
100,Agustín Canobbio,MF,uy Uruguay,23,1998,0.1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0.0,Matches
101,Yannick Carrasco,"FW,DF",be Belgium,28,1993,1.3,1,0,0,1,2,0,2,1,4,0,1,0,8,0,0,,Matches
102,Cameron Carter-Vickers,DF,us United States,24,1997,1.0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,50.0,Matches
103,Dani Carvajal,DF,es Spain,30,1992,1.5,0,0,0,0,1,0,0,2,1,0,0,0,9,0,1,0.0,Matches
104,William Carvalho,MF,pt Portugal,30,1992,2.4,0,0,0,3,2,0,0,0,5,0,0,0,15,4,0,100.0,Matches
105,Casemiro,MF,br Brazil,30,1992,4.3,1,0,0,7,3,0,2,7,4,0,0,0,22,3,3,50.0,Matches
106,Matty Cash,DF,pl Poland,24,1997,4.0,2,0,0,7,3,0,9,0,3,0,0,0,10,2,1,66.7,Matches
107,Timothy Castagne,DF,be Belgium,26,1995,3.0,0,0,0,3,1,0,3,2,4,0,0,0,9,2,3,40.0,Matches
108,Jean-Charles Castelletto,DF,cm Cameroon,27,1995,2.0,0,0,0,1,1,0,3,6,3,0,0,0,9,3,1,75.0,Matches
109,Lucas Cavallini,FW,ca Canada,29,1992,0.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,Matches
110,Edinson Cavani,FW,uy Uruguay,35,1987,1.4,1,0,0,0,1,1,0,0,0,0,0,0,6,2,1,66.7,Matches
111,Ghaylène Chaalali,MF,tn Tunisia,28,1994,0.2,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,100.0,Matches
112,Daniel Chacón,MF,cr Costa Rica,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
113,Ilias Chair,MF,ma Morocco,24,1997,0.5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,Matches
114,Kwon Chang-hoon,"FW,MF",kr Korea Republic,27,1994,0.6,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0.0,Matches
115,Luis Chávez,MF,mx Mexico,26,1996,3.0,0,0,0,3,8,0,19,1,0,0,0,0,15,5,5,50.0,Matches
116,Walid Cheddira,FW,ma Morocco,24,1998,0.7,2,1,1,5,0,2,0,0,0,0,0,0,0,2,2,50.0,Matches
117,Roozbeh Cheshmi,"DF,MF",ir IR Iran,28,1993,0.6,0,0,0,1,0,0,0,2,0,0,0,0,4,1,2,33.3,Matches
118,Andreas Christensen,DF,dk Denmark,26,1996,3.0,1,0,0,2,1,1,0,4,2,0,0,0,20,6,4,60.0,Matches
119,Hong Chul,DF,kr Korea Republic,31,1990,0.5,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,100.0,Matches
120,José Cifuentes,MF,ec Ecuador,23,1999,0.7,0,0,0,3,0,0,2,0,2,0,0,0,3,0,0,,Matches
121,Pathé Ciss,MF,sn Senegal,28,1994,1.6,1,0,0,4,0,0,0,2,3,0,0,0,10,5,0,100.0,Matches
122,Sebastián Coates,DF,uy Uruguay,31,1990,2.0,1,0,0,2,0,0,0,1,0,0,0,0,9,7,0,100.0,Matches
123,Rubin Colwill,MF,wls Wales,20,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
124,Kingsley Coman,"FW,MF",fr France,26,1996,1.9,0,0,0,1,2,0,13,2,2,0,0,0,12,2,4,33.3,Matches
125,Eray Cömert,DF,ch Switzerland,24,1998,0.5,1,0,0,3,1,0,0,2,0,0,0,0,4,0,0,,Matches
126,Anthony Contreras,"FW,MF",cr Costa Rica,22,2000,1.4,1,0,0,1,1,0,1,1,2,0,0,0,4,5,6,45.5,Matches
127,Andreas Cornelius,FW,dk Denmark,29,1993,1.0,1,0,0,4,2,0,1,0,0,0,0,0,2,11,8,57.9,Matches
128,Ángel Correa,MF,ar Argentina,27,1995,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,Matches
129,Diogo Costa,GK,pt Portugal,22,1999,5.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0.0,Matches
130,Thibaut Courtois,GK,be Belgium,30,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
131,Jason Cummings,FW,au Australia,26,1995,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
132,Aimen Dahmen,GK,tn Tunisia,25,1997,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
133,Diogo Dalot,DF,pt Portugal,23,1999,2.9,0,0,0,1,1,0,9,2,6,0,0,0,13,6,3,66.7,Matches
134,Mikkel Damsgaard,"MF,FW",dk Denmark,21,2000,1.7,0,0,0,2,1,1,3,2,2,0,0,0,10,0,1,0.0,Matches
135,Danilo,DF,br Brazil,30,1991,3.1,1,0,0,3,1,0,8,3,2,0,0,0,17,4,1,80.0,Matches
136,Achraf Dari,DF,ma Morocco,23,1999,2.1,1,0,0,2,1,0,0,5,0,0,0,0,10,5,5,50.0,Matches
137,Jonathan David,"FW,MF",ca Canada,22,2000,2.1,0,0,0,0,1,0,0,0,1,0,0,0,5,1,2,33.3,Matches
138,Alphonso Davies,"MF,DF",ca Canada,21,2000,3.0,1,0,0,4,4,1,10,3,1,0,0,0,14,3,2,60.0,Matches
139,Ben Davies,DF,wls Wales,29,1993,2.6,0,0,0,1,3,0,0,1,2,0,0,0,20,7,4,63.6,Matches
140,Nasser Al-Dawsari,FW,sa Saudi Arabia,23,1998,0.1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,Matches
141,Salem Al-Dawsari,MF,sa Saudi Arabia,30,1991,3.0,1,0,0,3,3,0,3,1,4,0,0,0,16,1,1,50.0,Matches
142,Giorgian De Arrascaeta,MF,uy Uruguay,28,1994,1.2,0,0,0,0,0,0,6,2,1,0,0,0,7,0,4,0.0,Matches
143,Kevin De Bruyne,"FW,MF",be Belgium,30,1991,3.0,0,0,0,0,2,0,18,0,1,0,0,0,11,4,0,100.0,Matches
144,Charles De Ketelaere,FW,be Belgium,21,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0.0,Matches
145,Nicolás De La Cruz,MF,uy Uruguay,25,1997,0.4,0,0,0,0,2,0,1,0,0,0,0,0,4,0,1,0.0,Matches
146,Rodrigo De Paul,MF,ar Argentina,28,1994,6.7,0,0,0,7,15,0,12,7,6,0,0,0,42,2,3,40.0,Matches
147,Miloš Degenek,DF,au Australia,28,1994,2.0,2,0,0,2,8,0,1,1,4,0,0,0,15,6,1,85.7,Matches
148,Thomas Delaney,MF,dk Denmark,30,1991,0.5,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,66.7,Matches
149,Ousmane Dembélé,FW,fr France,25,1997,4.8,1,0,0,6,3,2,19,2,6,0,1,0,26,2,1,66.7,Matches
150,Leander Dendoncker,"DF,MF",be Belgium,27,1995,1.8,1,0,0,3,0,0,0,0,3,0,0,0,6,2,1,66.7,Matches
151,Sergiño Dest,DF,us United States,21,2000,3.4,1,0,0,4,2,0,9,2,2,0,0,0,13,1,3,25.0,Matches
152,Ángel Di María,"MF,FW",ar Argentina,34,1988,3.2,0,0,0,0,7,5,27,1,1,1,0,0,7,0,1,0.0,Matches
153,Boulaye Dia,FW,sn Senegal,25,1996,3.5,1,0,0,3,3,2,1,1,0,0,0,0,7,5,7,41.7,Matches
154,Abdou Diallo,DF,sn Senegal,26,1996,3.7,0,0,0,3,0,0,3,1,2,0,0,0,17,7,6,53.8,Matches
155,Rúben Dias,DF,pt Portugal,25,1997,4.0,1,0,0,4,2,0,0,3,4,0,0,0,15,5,3,62.5,Matches
156,Krépin Diatta,"FW,MF",sn Senegal,23,1999,2.0,0,0,0,4,2,2,4,0,0,0,0,0,11,2,1,66.7,Matches
157,Famara Diedhiou,FW,sn Senegal,29,1992,1.0,0,0,0,2,2,1,0,0,0,0,0,0,3,5,4,55.6,Matches
158,Bamba Dieng,FW,sn Senegal,22,2000,1.1,0,0,0,5,3,0,1,0,1,0,0,0,4,2,8,20.0,Matches
159,Eric Dier,DF,eng England,28,1994,0.4,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,50.0,Matches
160,Axel Disasi,DF,fr France,24,1998,1.0,0,0,0,0,1,0,2,3,2,0,0,0,4,4,0,100.0,Matches
161,Alexander Djiku,"DF,FW",gh Ghana,27,1994,1.1,0,0,0,0,2,0,0,2,1,0,0,0,3,2,0,100.0,Matches
162,Ritsu Doan,FW,jp Japan,23,1998,2.4,0,0,0,3,4,0,9,3,5,0,0,0,11,1,4,20.0,Matches
163,Jeremy Doku,"MF,FW",be Belgium,20,2002,0.2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0.0,Matches
164,Kasper Dolberg,FW,dk Denmark,24,1997,1.3,0,0,0,2,2,1,1,0,1,0,0,0,3,0,1,0.0,Matches
165,Mohamed Dräger,DF,tn Tunisia,25,1996,1.5,0,0,0,2,1,0,3,1,3,0,0,0,2,1,1,50.0,Matches
166,Óscar Duarte,DF,cr Costa Rica,33,1989,3.0,1,0,0,1,0,0,0,6,2,0,1,0,9,2,3,40.0,Matches
167,Mitchell Duke,FW,au Australia,31,1991,3.0,1,0,0,6,3,1,1,2,0,0,0,0,11,11,12,47.8,Matches
168,Denzel Dumfries,DF,nl Netherlands,26,1996,5.3,2,1,1,17,7,2,8,7,5,0,1,0,16,9,10,47.4,Matches
169,Paulo Dybala,FW,ar Argentina,28,1993,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,75.0,Matches
