Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
544,Tarek Salman,DF,qa Qatar,24,1997,0.1,7,10,70.0,122,34,3,3,100.0,4,4,100.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
545,Alex Sandro,DF,br Brazil,31,1991,2.1,150,169,88.8,2171,680,89,93,95.7,53,61,86.9,5,11,45.5,0,0.1,0.2,-0.1,1,11,2,1,11,Matches
546,Leroy Sané,"FW,DF",de Germany,26,1996,1.2,47,58,81.0,647,273,22,28,78.6,15,16,93.8,2,3,66.7,1,1.8,1.9,-0.8,4,6,6,1,9,Matches
547,Na Sang-ho,FW,kr Korea Republic,25,1996,1.3,24,37,64.9,375,68,13,16,81.3,8,10,80.0,2,4,50.0,0,0.1,0.1,-0.1,3,2,2,1,2,Matches
548,Pablo Sarabia,FW,es Spain,30,1992,0.0,2,5,40.0,39,28,1,1,100.0,1,2,50.0,0,1,0.0,0,0.2,0.0,-0.2,2,0,1,1,0,Matches
549,Josh Sargent,FW,us United States,22,2000,1.7,29,33,87.9,321,35,18,19,94.7,7,7,100.0,0,1,0.0,0,0.1,0.1,-0.1,1,1,1,0,1,Matches
550,Jeremy Sarmiento,"MF,FW",ec Ecuador,19,2002,0.9,23,37,62.2,304,40,14,17,82.4,6,9,66.7,1,6,16.7,0,0.1,0.0,-0.1,2,1,1,1,0,Matches
551,Ismaila Sarr,"FW,MF",sn Senegal,24,1998,3.8,52,81,64.2,659,205,32,36,88.9,11,25,44.0,4,6,66.7,0,0.4,0.5,-0.4,6,3,6,2,6,Matches
552,Ferjani Sassi,"MF,DF",tn Tunisia,30,1992,0.5,25,34,73.5,522,135,5,7,71.4,17,18,94.4,3,6,50.0,0,0.0,0.0,0.0,0,5,1,0,4,Matches
553,Fabian Schär,DF,ch Switzerland,30,1991,1.5,65,82,79.3,1483,444,17,19,89.5,40,47,85.1,8,16,50.0,0,0.0,0.0,0.0,0,4,0,0,2,Matches
554,Nico Schlotterbeck,DF,de Germany,22,1999,1.0,110,123,89.4,1895,548,42,42,100.0,59,60,98.3,6,16,37.5,0,0.1,0.1,-0.1,2,10,2,0,7,Matches
555,Kasper Schmeichel,GK,dk Denmark,35,1986,3.0,72,87,82.8,1830,1388,16,16,100.0,36,36,100.0,20,35,57.1,0,0.0,0.0,0.0,0,3,0,0,1,Matches
556,Haris Seferović,FW,ch Switzerland,30,1992,0.8,10,14,71.4,135,23,7,7,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches
557,Alidu Seidu,DF,gh Ghana,22,2000,1.7,59,78,75.6,791,246,43,47,91.5,12,17,70.6,2,8,25.0,0,0.0,0.0,0.0,0,3,1,1,1,Matches
558,Antoine Semenyo,"FW,MF",gh Ghana,22,2000,0.2,1,2,50.0,15,0,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
559,Kim Seung-gyu,GK,kr Korea Republic,31,1990,4.0,93,128,72.7,2291,1407,23,23,100.0,45,45,100.0,25,59,42.4,0,0.0,0.0,0.0,0,1,0,0,0,Matches
560,Paik Seung-ho,MF,kr Korea Republic,25,1997,0.3,20,27,74.1,260,57,10,14,71.4,7,9,77.8,1,1,100.0,0,0.0,0.0,0.0,0,3,1,0,2,Matches
561,Yasser Al-Shahrani,DF,sa Saudi Arabia,30,1992,1.0,13,29,44.8,221,123,6,8,75.0,6,14,42.9,1,6,16.7,0,0.0,0.0,0.0,0,1,0,0,2,Matches
562,Xherdan Shaqiri,"FW,MF",ch Switzerland,30,1991,2.5,67,104,64.4,981,337,38,43,88.4,21,30,70.0,4,17,23.5,1,0.9,1.0,+0.1,4,7,4,0,11,Matches
563,Riyadh Sharahili,MF,sa Saudi Arabia,29,1993,0.6,14,17,82.4,203,54,8,8,100.0,5,5,100.0,1,3,33.3,0,0.0,0.0,0.0,1,0,0,0,0,Matches
564,Luke Shaw,DF,eng England,26,1995,4.7,335,400,83.8,5392,1662,165,179,92.2,144,159,90.6,20,41,48.8,1,0.8,0.9,+0.2,8,23,9,4,31,Matches
565,Saad Al Sheeb,GK,qa Qatar,32,1990,1.0,18,20,90.0,409,287,5,5,100.0,8,8,100.0,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
566,Saleh Al-Shehri,FW,sa Saudi Arabia,28,1993,2.5,29,47,61.7,351,40,15,20,75.0,7,11,63.6,2,2,100.0,0,0.1,0.0,-0.1,2,4,0,0,0,Matches
567,André Silva,FW,pt Portugal,26,1995,0.3,9,11,81.8,148,27,5,7,71.4,3,3,100.0,1,1,100.0,0,0.1,0.0,-0.1,2,1,0,0,1,Matches
568,António Silva,DF,pt Portugal,18,2003,1.0,60,62,96.8,1152,310,26,26,100.0,22,23,95.7,10,11,90.9,0,0.0,0.0,0.0,0,1,0,0,3,Matches
569,Bernardo Silva,MF,pt Portugal,27,1994,4.0,256,292,87.7,4147,777,143,153,93.5,87,92,94.6,20,30,66.7,0,0.4,0.3,-0.4,5,16,1,0,12,Matches
570,Thiago Silva,DF,br Brazil,37,1984,4.3,322,344,93.6,6145,2410,115,120,95.8,174,181,96.1,32,39,82.1,1,0.9,0.6,+0.1,4,15,3,1,15,Matches
571,Unai Simón,GK,es Spain,25,1997,4.3,150,160,93.8,3167,2017,38,38,100.0,92,95,96.8,20,27,74.1,0,0.0,0.0,0.0,0,0,0,0,1,Matches
572,Xavi Simons,"FW,MF",nl Netherlands,19,2003,0.1,6,10,60.0,89,36,4,7,57.1,2,2,100.0,0,0,,0,0.0,0.1,0.0,0,0,2,0,3,Matches
573,Ellyes Skhiri,MF,tn Tunisia,27,1995,3.0,109,127,85.8,1976,841,44,46,95.7,52,59,88.1,12,19,63.2,0,0.1,0.1,-0.1,3,14,2,0,13,Matches
574,Michał Skóraś,MF,pl Poland,22,2000,0.5,8,9,88.9,127,4,1,2,50.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
575,Andreas Skov Olsen,"FW,MF",dk Denmark,22,1999,1.5,43,63,68.3,652,116,25,28,89.3,15,20,75.0,3,4,75.0,0,0.0,0.1,0.0,0,2,1,0,3,Matches
576,Robert Skov,DF,dk Denmark,26,1996,0.2,17,21,81.0,281,55,7,8,87.5,9,9,100.0,1,3,33.3,0,0.0,0.4,0.0,0,1,1,1,2,Matches
577,Naïm Sliti,"MF,FW",tn Tunisia,29,1992,1.3,29,51,56.9,557,202,11,17,64.7,12,16,75.0,5,16,31.3,0,0.1,0.1,-0.1,2,3,3,1,8,Matches
578,Carlos Soler,MF,es Spain,25,1997,1.0,78,83,94.0,1300,278,38,39,97.4,30,31,96.8,8,9,88.9,0,0.2,0.1,-0.2,2,12,1,0,5,Matches
579,Yuki Soma,"FW,MF",jp Japan,25,1997,0.9,11,19,57.9,167,77,8,8,100.0,2,3,66.7,1,7,14.3,0,0.0,0.0,0.0,0,1,0,0,1,Matches
580,Yann Sommer,GK,ch Switzerland,33,1988,3.0,108,118,91.5,2284,1327,27,27,100.0,64,65,98.5,16,25,64.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
581,Borna Sosa,DF,hr Croatia,24,1998,4.7,220,278,79.1,3068,1123,143,154,92.9,61,83,73.5,10,23,43.5,0,0.4,0.5,-0.4,2,11,3,2,9,Matches
582,Harry Souttar,DF,au Australia,23,1998,4.0,138,167,82.6,2588,1257,54,56,96.4,64,69,92.8,14,35,40.0,0,0.0,0.1,0.0,1,9,0,0,5,Matches
583,Djibril Sow,MF,ch Switzerland,25,1997,2.9,84,97,86.6,1395,282,36,42,85.7,40,42,95.2,7,8,87.5,1,0.2,0.2,+0.8,3,5,4,0,9,Matches
584,Josip Stanišić,DF,hr Croatia,22,2000,1.0,36,49,73.5,611,129,20,24,83.3,13,15,86.7,3,5,60.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
585,Renato Steffen,FW,ch Switzerland,30,1991,0.4,13,15,86.7,170,43,7,8,87.5,5,5,100.0,0,1,0.0,0,0.0,0.1,0.0,0,1,1,0,2,Matches
586,Raheem Sterling,FW,eng England,27,1994,1.7,45,55,81.8,644,96,21,23,91.3,21,25,84.0,0,2,0.0,1,0.1,0.1,+0.9,1,2,0,0,2,Matches
587,John Stones,DF,eng England,28,1994,4.8,435,454,95.8,8447,2913,152,156,97.4,231,235,98.3,48,58,82.8,0,0.1,0.1,-0.1,1,20,0,0,23,Matches
588,Luis Suárez,FW,uy Uruguay,35,1987,1.6,25,40,62.5,301,97,19,25,76.0,3,6,50.0,1,4,25.0,1,0.1,0.1,+0.9,1,2,1,0,2,Matches
589,Niklas Süle,DF,de Germany,26,1995,3.0,231,255,90.6,3990,1348,105,113,92.9,99,108,91.7,21,25,84.0,0,0.0,0.1,0.0,0,26,0,0,18,Matches
590,Kamaldeen Sulemana,FW,gh Ghana,20,2002,0.6,10,19,52.6,124,31,8,10,80.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
591,Josip Šutalo,DF,hr Croatia,22,2000,1.0,62,66,93.9,1178,314,22,23,95.7,34,36,94.4,5,6,83.3,0,0.0,0.0,0.0,0,1,0,0,2,Matches
592,Karol Świderski,FW,pl Poland,25,1997,0.5,7,7,100.0,113,6,3,3,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
593,Wojciech Szczęsny,GK,pl Poland,32,1990,4.0,84,142,59.2,3118,2632,10,10,100.0,31,31,100.0,43,101,42.6,0,0.0,0.0,0.0,0,7,0,0,0,Matches
594,Damian Szymański,MF,pl Poland,26,1995,0.3,8,8,100.0,165,29,4,4,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
595,Sebastian Szymański,MF,pl Poland,23,1999,1.5,26,41,63.4,442,138,14,20,70.0,9,12,75.0,2,3,66.7,0,0.0,0.1,0.0,0,3,0,0,2,Matches
596,Dušan Tadić,"MF,FW",rs Serbia,33,1988,2.9,90,127,70.9,1402,501,50,59,84.7,31,40,77.5,6,17,35.3,2,0.7,1.1,+1.3,10,8,9,2,14,Matches
597,Nicolás Tagliafico,DF,ar Argentina,29,1992,4.1,146,179,81.6,2006,518,99,110,90.0,40,47,85.1,5,12,41.7,0,0.2,0.2,-0.2,2,6,1,0,5,Matches
598,Montassar Talbi,DF,tn Tunisia,24,1998,3.0,118,137,86.1,2488,843,29,35,82.9,76,82,92.7,12,18,66.7,0,0.0,0.0,0.0,0,11,2,0,11,Matches
599,Hassan Al Tambakti,DF,sa Saudi Arabia,23,1999,2.0,40,55,72.7,694,326,17,18,94.4,19,24,79.2,3,9,33.3,0,0.0,0.0,0.0,0,1,0,0,3,Matches
600,Ao Tanaka,MF,jp Japan,23,1998,1.9,48,69,69.6,846,220,17,26,65.4,24,31,77.4,5,10,50.0,0,0.1,0.4,-0.1,1,2,3,1,6,Matches
601,Shogo Taniguchi,DF,jp Japan,30,1991,2.3,72,85,84.7,1299,480,40,42,95.2,23,27,85.2,9,14,64.3,0,0.0,0.0,0.0,0,10,0,0,2,Matches
602,Mehdi Taremi,FW,ir IR Iran,29,1992,3.0,58,78,74.4,956,157,22,29,75.9,26,32,81.3,6,8,75.0,1,0.7,0.1,+0.3,9,8,0,0,4,Matches
603,Kenneth Taylor,MF,nl Netherlands,20,2002,0.1,8,8,100.0,112,37,6,6,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
604,Aurélien Tchouaméni,MF,fr France,22,2000,6.9,424,474,89.5,7447,1871,183,196,93.4,205,221,92.8,30,42,71.4,0,1.0,0.4,-1.0,6,48,3,0,37,Matches
605,Yeltsin Tejeda,MF,cr Costa Rica,30,1992,3.0,78,99,78.8,1348,378,39,46,84.8,30,37,81.1,8,12,66.7,1,0.1,0.0,+0.9,1,6,1,0,7,Matches
606,Alex Telles,DF,br Brazil,29,1992,0.7,33,42,78.6,507,135,15,17,88.2,15,18,83.3,1,5,20.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches
607,Sorba Thomas,MF,wls Wales,22,1999,0.0,3,4,75.0,64,24,0,0,,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches
608,Marcus Thuram,"FW,MF",fr France,24,1997,1.7,27,40,67.5,366,86,20,25,80.0,4,10,40.0,2,3,66.7,2,0.3,0.1,+1.7,4,1,5,0,6,Matches
609,Youri Tielemans,MF,be Belgium,25,1997,1.1,53,64,82.8,901,200,25,28,89.3,23,28,82.1,5,8,62.5,0,0.1,0.1,-0.1,1,6,1,0,4,Matches
610,Jurriën Timber,DF,nl Netherlands,20,2001,4.3,283,313,90.4,4444,1337,144,151,95.4,116,126,92.1,18,29,62.1,0,0.0,0.1,0.0,0,32,0,0,15,Matches
611,Karl Toko Ekambi,"FW,MF",cm Cameroon,29,1992,1.8,43,53,81.1,784,115,23,27,85.2,13,13,100.0,7,10,70.0,0,0.3,0.4,-0.3,3,3,0,0,0,Matches
612,Nouhou Tolo,DF,cm Cameroon,24,1997,3.0,83,109,76.1,1368,510,44,47,93.6,33,44,75.0,6,14,42.9,0,0.0,0.0,0.0,0,5,1,1,6,Matches
613,Takehiro Tomiyasu,"DF,MF",jp Japan,23,1998,2.1,73,103,70.9,1188,500,36,43,83.7,32,41,78.0,4,18,22.2,0,0.2,0.1,-0.2,3,6,2,0,4,Matches
614,Mehdi Torabi,MF,ir IR Iran,27,1994,0.7,30,37,81.1,421,168,19,21,90.5,9,12,75.0,1,1,100.0,0,0.6,0.2,-0.6,3,5,0,0,6,Matches
615,Félix Torres Caicedo,DF,ec Ecuador,25,1997,3.0,168,208,80.8,3340,1317,51,58,87.9,94,103,91.3,23,42,54.8,1,0.4,0.0,+0.6,1,3,0,0,2,Matches
616,Ferrán Torres,FW,es Spain,22,2000,2.4,59,85,69.4,878,123,33,38,86.8,22,29,75.9,1,5,20.0,0,0.2,0.2,-0.2,1,1,3,0,6,Matches
617,Gerson Torres,MF,cr Costa Rica,24,1997,0.7,16,16,100.0,228,14,8,8,100.0,8,8,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
618,Pau Torres,DF,es Spain,25,1997,1.0,174,191,91.1,3177,815,51,54,94.4,111,120,92.5,11,14,78.6,0,0.0,0.0,0.0,0,11,0,0,3,Matches
619,Kieran Trippier,DF,eng England,31,1990,2.3,165,195,84.6,2930,762,80,84,95.2,68,76,89.5,16,29,55.2,0,0.1,0.2,-0.1,3,11,2,0,13,Matches
620,Leandro Trossard,"FW,MF",be Belgium,27,1994,1.1,43,57,75.4,822,144,21,26,80.8,16,21,76.2,6,7,85.7,0,0.1,0.0,-0.1,2,4,0,0,3,Matches
621,Matt Turner,GK,us United States,27,1994,4.0,101,128,78.9,2504,1748,26,26,100.0,50,51,98.0,24,50,48.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
622,Ayase Ueda,FW,jp Japan,23,1998,0.5,7,12,58.3,89,11,5,8,62.5,2,4,50.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1,Matches
623,Hwang Ui-jo,"FW,MF",kr Korea Republic,29,1992,1.2,9,11,81.8,120,19,4,6,66.7,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
624,Dayot Upamecano,DF,fr France,23,1998,5.3,314,351,89.5,6860,2217,83,88,94.3,172,179,96.1,56,75,74.7,0,0.1,0.1,-0.1,2,28,0,0,19,Matches
625,Enner Valencia,"FW,MF",ec Ecuador,32,1989,2.8,40,57,70.2,534,70,25,34,73.5,14,14,100.0,0,1,0.0,0,0.3,0.2,-0.3,3,2,1,1,1,Matches
626,Federico Valverde,MF,uy Uruguay,23,1998,3.0,159,189,84.1,2866,875,68,73,93.2,63,73,86.3,23,34,67.6,0,0.4,0.4,-0.4,4,21,3,1,17,Matches
627,Virgil van Dijk,DF,nl Netherlands,30,1991,5.3,311,356,87.4,6371,2470,94,102,92.2,179,194,92.3,38,57,66.7,0,0.1,0.1,-0.1,2,7,1,0,15,Matches
628,Raphaël Varane,DF,fr France,29,1993,5.8,256,286,89.5,5125,1467,78,85,91.8,155,162,95.7,23,38,60.5,0,0.0,0.0,0.0,0,20,0,0,5,Matches
629,Guillermo Varela,DF,uy Uruguay,29,1993,2.0,62,92,67.4,1043,465,31,38,81.6,22,33,66.7,7,14,50.0,0,0.1,0.0,-0.1,1,3,2,1,6,Matches
630,Ruben Vargas,FW,ch Switzerland,23,1998,3.2,80,117,68.4,1111,305,50,57,87.7,25,40,62.5,3,9,33.3,1,0.6,0.7,+0.4,5,4,1,0,5,Matches
631,Matías Vecino,MF,uy Uruguay,30,1991,2.2,76,106,71.7,1189,296,42,54,77.8,23,33,69.7,8,8,100.0,0,0.0,0.0,0.0,0,8,0,0,9,Matches
632,Alexis Vega,FW,mx Mexico,24,1997,2.1,40,56,71.4,658,208,23,26,88.5,12,18,66.7,4,8,50.0,0,0.1,0.1,-0.1,1,3,0,0,4,Matches
633,Miloš Veljković,DF,rs Serbia,26,1995,2.5,98,112,87.5,2106,647,18,20,90.0,68,70,97.1,11,17,64.7,0,0.0,0.0,0.0,0,1,0,0,3,Matches
634,Johan Venegas,"FW,MF",cr Costa Rica,33,1988,0.8,11,14,78.6,143,13,10,11,90.9,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
635,Jordan Veretout,MF,fr France,29,1993,0.7,33,36,91.7,609,139,13,15,86.7,16,16,100.0,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
636,Jan Vertonghen,DF,be Belgium,35,1987,3.0,238,269,88.5,4600,1560,67,72,93.1,158,167,94.6,13,25,52.0,0,0.0,0.0,0.0,0,6,0,0,8,Matches
637,Matías Viña,DF,uy Uruguay,24,1997,0.2,11,21,52.4,148,44,6,9,66.7,5,8,62.5,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
638,Vitinha,MF,pt Portugal,22,2000,1.3,100,108,92.6,1762,378,51,54,94.4,36,39,92.3,12,13,92.3,0,0.0,0.1,0.0,1,15,2,0,9,Matches
639,Steven Vitória,DF,ca Canada,35,1987,3.0,160,186,86.0,2837,1119,77,83,92.8,66,70,94.3,16,30,53.3,0,0.0,0.0,0.0,0,8,0,0,8,Matches
640,Dušan Vlahović,FW,rs Serbia,22,2000,0.9,6,11,54.5,105,20,2,6,33.3,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
641,Nikola Vlašić,"FW,MF",hr Croatia,24,1997,2.3,45,55,81.8,570,94,27,27,100.0,15,18,83.3,0,2,0.0,0,0.0,0.1,0.0,0,4,2,1,4,Matches
642,Mohammed Waad,"MF,DF",qa Qatar,22,1999,0.3,9,12,75.0,185,28,6,8,75.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
643,Kyle Walker,DF,eng England,32,1990,2.6,162,181,89.5,3151,837,65,68,95.6,76,83,91.6,20,28,71.4,0,0.0,0.1,0.0,0,11,2,0,12,Matches
644,Danny Ward,GK,wls Wales,28,1993,1.0,24,39,61.5,923,797,8,8,100.0,2,2,100.0,14,29,48.3,0,0.0,0.0,0.0,0,2,0,0,0,Matches
645,Kendall Waston,DF,cr Costa Rica,34,1988,2.5,57,71,80.3,1225,437,16,19,84.2,32,35,91.4,8,15,53.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
646,Timothy Weah,FW,us United States,22,2000,3.5,90,108,83.3,1291,206,58,67,86.6,21,23,91.3,7,10,70.0,0,0.4,0.2,-0.4,6,6,2,2,4,Matches
647,Wout Weghorst,FW,nl Netherlands,29,1992,0.7,9,15,60.0,115,32,4,6,66.7,2,6,33.3,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,2,Matches
648,Wéverton,GK,br Brazil,34,1987,0.1,3,5,60.0,145,126,0,0,,0,0,,3,5,60.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
649,Silvan Widmer,DF,ch Switzerland,29,1993,2.9,127,169,75.1,2070,814,62,70,88.6,53,70,75.7,10,20,50.0,1,0.8,0.9,+0.2,2,12,3,2,10,Matches
650,Iñaki Williams,FW,gh Ghana,27,1994,3.0,29,42,69.0,355,65,18,24,75.0,7,9,77.8,1,1,100.0,0,0.2,0.0,-0.2,2,0,0,0,1,Matches
651,Neco Williams,DF,wls Wales,21,2001,2.3,69,101,68.3,1178,388,35,39,89.7,26,36,72.2,7,17,41.2,0,0.1,0.0,-0.1,1,5,0,0,4,Matches
652,Nico Williams,FW,es Spain,19,2002,1.6,50,63,79.4,822,74,25,28,89.3,19,24,79.2,4,6,66.7,0,0.0,0.1,0.0,0,1,2,0,3,Matches
653,Callum Wilson,FW,eng England,30,1992,0.5,9,10,90.0,121,32,6,6,100.0,3,4,75.0,0,0,,1,0.9,0.4,+0.1,3,0,3,0,3,Matches
654,Harry Wilson,"MF,FW",wls Wales,25,1997,1.8,48,64,75.0,911,225,23,27,85.2,17,21,81.0,8,13,61.5,0,0.5,0.3,-0.5,3,3,2,1,2,Matches
655,Roan Wilson,MF,cr Costa Rica,20,2002,0.0,4,4,100.0,52,0,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
656,Axel Witsel,MF,be Belgium,33,1989,3.0,169,177,95.5,2851,651,74,76,97.4,88,92,95.7,6,7,85.7,0,0.0,0.1,0.0,1,9,1,0,8,Matches
657,Jeong Woo-yeong,MF,kr Korea Republic,22,1999,0.5,12,15,80.0,181,31,6,7,85.7,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
658,Jung Woo-young,MF,kr Korea Republic,32,1989,3.4,178,211,84.4,3599,1019,67,75,89.3,78,88,88.6,31,42,73.8,0,0.1,0.1,-0.1,2,25,2,0,14,Matches
659,Christopher Wooh,DF,cm Cameroon,20,2001,1.0,25,31,80.6,522,119,6,7,85.7,16,16,100.0,3,8,37.5,0,0.0,0.0,0.0,0,0,0,0,1,Matches
660,David Wotherspoon,MF,ca Canada,32,1990,0.2,4,7,57.1,70,3,2,2,100.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
661,Bailey Wright,DF,au Australia,29,1992,0.2,1,3,33.3,56,33,0,1,0.0,0,0,,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
662,Haji Wright,FW,us United States,24,1998,1.5,20,27,74.1,219,37,13,15,86.7,3,5,60.0,1,2,50.0,0,0.0,0.0,0.0,1,2,1,0,2,Matches
663,Granit Xhaka,MF,ch Switzerland,29,1992,4.0,215,243,88.5,3990,1079,81,86,94.2,99,106,93.4,28,40,70.0,0,0.1,0.2,-0.1,2,21,3,0,25,Matches
664,Miki Yamane,"DF,MF",jp Japan,28,1993,0.7,24,33,72.7,371,164,12,12,100.0,11,17,64.7,1,2,50.0,0,0.1,0.1,-0.1,1,4,2,0,5,Matches
665,Jawad El Yamiq,DF,ma Morocco,30,1992,3.4,146,164,89.0,2260,940,79,87,90.8,61,64,95.3,6,12,50.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
666,Taha Yassine Khenissi,FW,tn Tunisia,30,1992,0.3,2,6,33.3,27,0,1,1,100.0,1,2,50.0,0,0,,0,0.1,0.0,-0.1,1,1,0,0,0,Matches
667,DeAndre Yedlin,DF,us United States,28,1993,0.4,19,28,67.9,289,115,7,9,77.8,9,14,64.3,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
668,Maya Yoshida,DF,jp Japan,33,1988,4.3,198,232,85.3,3969,1370,64,69,92.8,108,114,94.7,25,45,55.6,1,0.4,0.0,+0.6,1,3,0,0,6,Matches
669,Kim Young-gwon,DF,kr Korea Republic,32,1990,3.9,178,209,85.2,3954,1720,61,65,93.8,82,87,94.3,35,56,62.5,0,0.2,0.1,-0.2,3,17,4,1,18,Matches
670,Cho Yumin,FW,kr Korea Republic,25,1996,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
671,Denis Zakaria,MF,ch Switzerland,25,1996,0.7,20,23,87.0,356,83,10,12,83.3,8,9,88.9,2,2,100.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches
672,Nicola Zalewski,MF,pl Poland,20,2002,0.7,15,17,88.2,280,54,3,4,75.0,10,11,90.9,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,1,Matches
673,Andre-Frank Zambo Anguissa,MF,cm Cameroon,26,1995,2.9,113,130,86.9,1720,560,63,67,94.0,45,51,88.2,3,5,60.0,1,0.0,0.1,+1.0,0,14,1,0,8,Matches
674,Álvaro Zamora,MF,cr Costa Rica,20,2002,0.3,5,5,100.0,55,22,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
675,Anass Zaroury,FW,ma Morocco,21,2000,0.3,8,13,61.5,92,10,5,5,100.0,2,3,66.7,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
676,Piotr Zieliński,"MF,FW",pl Poland,28,1994,3.6,124,153,81.0,2125,676,54,59,91.5,52,60,86.7,11,24,45.8,0,0.4,0.4,-0.4,7,14,1,1,8,Matches
677,Walker Zimmerman,DF,us United States,29,1993,3.1,217,244,88.9,4157,1373,72,78,92.3,127,132,96.2,17,29,58.6,0,0.0,0.0,0.0,0,6,0,0,3,Matches
678,Andrija Živković,DF,rs Serbia,25,1996,2.3,71,96,74.0,1121,362,31,32,96.9,31,40,77.5,5,17,29.4,2,1.1,0.8,+0.9,4,6,3,0,6,Matches
679,Hakim Ziyech,FW,ma Morocco,29,1993,7.1,211,306,69.0,3462,987,118,139,84.9,57,79,72.2,27,62,43.5,1,0.7,0.5,+0.3,7,16,7,0,24,Matches
680,Filip Đuričić,"MF,FW",rs Serbia,30,1992,0.2,5,6,83.3,96,23,2,3,66.7,3,3,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
