Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
170,Enzo Ebosse,DF,cm Cameroon,23,1999,1.0,49,9,28,21,1,0,49,0,0,,0,0,29,0,Matches
171,Ederson,GK,br Brazil,28,1993,1.0,32,30,32,0,0,0,32,0,0,,0,0,15,0,Matches
172,Jorge Eduardo Sánchez,DF,mx Mexico,24,1997,1.9,115,6,33,48,34,4,115,1,4,25.0,4,4,55,9,Matches
173,Nico Elvedi,DF,ch Switzerland,25,1996,2.0,165,26,93,69,3,1,165,0,0,,1,0,114,0,Matches
174,Breel Embolo,FW,ch Switzerland,25,1997,3.6,91,3,4,44,44,10,91,2,6,33.3,10,10,76,23,Matches
175,Youssef En-Nesyri,FW,ma Morocco,25,1997,6.0,129,13,37,62,30,13,129,5,8,62.5,9,1,71,13,Matches
176,Wataru Endo,MF,jp Japan,29,1993,3.4,241,14,60,140,42,2,241,1,5,20.0,2,5,149,3,Matches
177,Devis Epassy,GK,cm Cameroon,29,1993,2.0,92,77,91,1,0,0,92,0,0,,0,0,32,0,Matches
178,Christian Eriksen,MF,dk Denmark,30,1992,3.0,254,1,29,142,89,7,254,0,4,0.0,6,3,176,12,Matches
179,Michael Estrada,FW,ec Ecuador,26,1996,2.5,71,1,2,46,23,7,71,2,3,66.7,6,2,59,9,Matches
180,Pervis Estupiñán,DF,ec Ecuador,24,1998,3.0,222,7,44,125,55,5,222,2,8,25.0,4,4,124,8,Matches
181,Stephen Eustáquio,MF,ca Canada,25,1996,1.4,110,8,17,70,23,1,110,1,1,100.0,0,2,77,2,Matches
182,Saeid Ezatolahi,MF,ir IR Iran,25,1996,2.4,116,6,33,67,20,1,116,0,1,0.0,5,0,62,1,Matches
183,Abdessamad Ezzalzouli,"FW,MF",ma Morocco,20,2001,1.0,40,2,17,9,16,5,40,1,2,50.0,9,1,18,3,Matches
184,Fabinho,MF,br Brazil,28,1993,1.0,64,4,13,45,7,0,64,0,0,,1,0,40,0,Matches
185,Collins Fai,DF,cm Cameroon,29,1992,3.0,169,8,49,85,38,0,169,0,2,0.0,1,0,86,2,Matches
186,Salman Al-Faraj,MF,sa Saudi Arabia,32,1989,0.5,20,0,1,12,7,0,20,0,0,,1,2,13,1,Matches
187,Christian Fassnacht,FW,ch Switzerland,28,1993,0.1,12,0,2,4,8,1,12,2,2,100.0,0,0,7,3,Matches
188,Abdul Fatawu Issahaku,FW,gh Ghana,18,2004,0.0,2,0,0,2,0,0,2,0,1,0.0,0,0,1,0,Matches
189,Ansu Fati,FW,es Spain,19,2002,0.5,34,0,2,8,24,5,34,0,2,0.0,1,0,29,6,Matches
190,João Félix,FW,pt Portugal,22,1999,3.7,156,1,12,66,81,13,156,2,8,25.0,5,0,131,21,Matches
191,Bruno Fernandes,"FW,MF",pt Portugal,27,1994,4.0,272,6,34,122,119,9,271,3,6,50.0,7,4,193,19,Matches
192,Edimilson Fernandes,"FW,DF",ch Switzerland,26,1996,1.6,96,5,27,37,33,1,96,0,1,0.0,2,3,58,5,Matches
193,Enzo Fernández,MF,ar Argentina,21,2001,6.3,535,16,104,354,80,5,535,3,6,50.0,9,7,417,4,Matches
194,Jesús Ferreira,FW,us United States,21,2000,0.5,24,0,2,9,13,1,24,0,1,0.0,0,1,19,2,Matches
195,Phil Foden,"FW,MF",eng England,22,2000,2.9,144,1,8,56,81,8,144,3,6,50.0,7,1,110,25,Matches
196,Youssouf Fofana,MF,fr France,23,1999,2.5,138,5,29,87,28,2,138,2,2,100.0,3,3,94,5,Matches
197,Juan Foyth,DF,ar Argentina,24,1998,0.1,5,0,1,3,1,0,5,1,1,100.0,1,0,2,1,Matches
198,Alan Franco,MF,ec Ecuador,23,1998,0.5,16,1,5,10,1,0,16,0,0,,1,0,9,0,Matches
199,Przemysław Frankowski,MF,pl Poland,27,1995,2.7,99,6,22,42,35,1,99,2,4,50.0,3,3,59,4,Matches
200,Fred,MF,br Brazil,29,1993,1.6,98,4,22,43,33,2,98,0,0,,3,1,67,5,Matches
201,Fabian Frei,MF,ch Switzerland,33,1989,0.3,16,1,7,9,0,0,16,0,0,,0,2,13,1,Matches
202,Remo Freuler,MF,ch Switzerland,30,1992,3.6,197,6,48,108,42,4,197,0,4,0.0,12,0,124,5,Matches
203,Keysher Fuller,"DF,MF",cr Costa Rica,27,1994,2.8,93,11,38,36,20,4,93,1,2,50.0,4,1,47,5,Matches
204,Niclas Füllkrug,FW,de Germany,29,1993,0.8,38,0,0,14,24,13,38,1,1,100.0,2,0,28,13,Matches
205,Rogelio Funes Mori,FW,mx Mexico,31,1991,0.1,2,0,0,1,1,0,2,0,0,,0,0,3,0,Matches
206,Cody Gakpo,"FW,MF",nl Netherlands,23,1999,5.0,212,5,21,73,123,7,212,5,13,38.5,16,9,132,18,Matches
207,Hernán Galíndez,GK,ec Ecuador,35,1987,3.0,76,62,76,0,0,0,76,0,0,,0,0,29,0,Matches
208,Jesús Gallardo,DF,mx Mexico,27,1994,3.0,170,7,55,77,39,3,170,3,4,75.0,5,0,76,8,Matches
209,Idrissa Gana Gueye,MF,sn Senegal,32,1989,3.0,158,7,25,71,63,5,158,1,2,50.0,2,5,100,9,Matches
210,Gavi,MF,es Spain,17,2004,3.2,185,3,12,116,57,7,185,3,7,42.9,8,5,153,18,Matches
211,Sultan Al-Ghanam,"DF,MF",sa Saudi Arabia,28,1994,1.4,71,5,19,26,27,3,71,0,2,0.0,4,1,36,2,Matches
212,Nader Ghandri,DF,tn Tunisia,27,1995,1.0,44,10,32,12,0,0,44,0,0,,0,0,22,0,Matches
213,Saman Ghoddos,MF,ir IR Iran,28,1993,0.5,24,0,2,7,15,1,24,0,0,,2,1,19,6,Matches
214,Ali Gholizadeh,"MF,FW",ir IR Iran,26,1996,2.2,88,5,22,35,35,3,88,4,8,50.0,2,2,51,7,Matches
215,Matthias Ginter,DF,de Germany,28,1994,0.0,3,0,2,1,0,0,3,0,0,,0,0,3,0,Matches
216,Olivier Giroud,FW,fr France,35,1986,4.7,111,5,10,58,43,21,111,0,0,,5,1,81,12,Matches
217,Kamil Glik,DF,pl Poland,34,1988,4.0,168,30,93,70,5,4,168,0,0,,0,0,105,0,Matches
218,Serge Gnabry,"FW,MF",de Germany,26,1995,2.9,151,1,9,43,100,21,151,3,5,60.0,4,7,112,16,Matches
219,Diego Godín,DF,uy Uruguay,36,1986,1.7,116,5,43,72,1,1,116,0,0,,0,0,78,1,Matches
220,Maxi Gómez,FW,uy Uruguay,25,1996,0.3,9,0,0,2,7,0,9,0,0,,0,0,8,1,Matches
221,Papu Gómez,"MF,FW",ar Argentina,34,1988,1.2,69,0,8,39,23,1,69,1,2,50.0,1,1,58,5,Matches
222,Shūichi Gonda,GK,jp Japan,33,1989,4.3,124,106,124,0,0,0,124,0,0,,0,0,49,0,Matches
223,Craig Goodwin,MF,au Australia,30,1991,2.6,117,4,21,48,48,4,117,0,0,,2,3,75,8,Matches
224,Leon Goretzka,MF,de Germany,27,1995,1.8,72,4,14,33,25,4,72,0,0,,2,2,43,2,Matches
225,Mario Götze,MF,de Germany,30,1992,0.4,30,0,4,7,19,5,30,0,2,0.0,2,0,18,5,Matches
226,Jack Grealish,FW,eng England,26,1995,1.0,72,2,12,35,26,5,72,3,9,33.3,1,0,61,4,Matches
227,Antoine Griezmann,MF,fr France,31,1991,6.0,384,11,51,190,147,14,384,4,10,40.0,6,9,250,21,Matches
228,Kamil Grosicki,MF,pl Poland,34,1988,0.0,6,0,0,2,4,1,6,1,1,100.0,0,0,6,0,Matches
229,Carlos Gruezo,MF,ec Ecuador,27,1995,0.5,19,0,6,12,2,0,19,0,0,,3,0,15,0,Matches
230,Marko Grujić,MF,rs Serbia,26,1996,0.1,21,2,4,12,5,0,21,0,1,0.0,0,0,14,1,Matches
231,Andrés Guardado,MF,mx Mexico,35,1986,0.5,23,0,6,16,1,0,23,0,0,,0,1,10,0,Matches
232,Nemanja Gudelj,"MF,DF",rs Serbia,30,1991,1.0,61,2,24,32,5,0,61,0,0,,2,2,42,1,Matches
233,Mattéo Guendouzi,"FW,MF",fr France,23,1999,0.9,37,1,5,22,10,1,37,0,0,,0,1,24,2,Matches
234,Raphaël Guerreiro,DF,pt Portugal,28,1993,3.1,208,2,45,92,72,6,208,2,2,100.0,1,1,139,14,Matches
235,Cho Guesung,FW,kr Korea Republic,24,1998,3.1,90,3,12,33,45,13,90,0,5,0.0,5,5,67,14,Matches
236,Pape Gueye,MF,sn Senegal,23,1999,1.7,81,2,17,46,19,3,81,0,1,0.0,3,3,42,3,Matches
237,Bruno Guimarães,MF,br Brazil,24,1997,0.8,67,2,6,28,33,7,67,2,2,100.0,3,2,54,2,Matches
238,İlkay Gündoğan,MF,de Germany,31,1990,2.1,188,2,17,118,55,6,187,2,2,100.0,4,1,142,6,Matches
239,Erick Gutiérrez,MF,mx Mexico,26,1995,0.5,35,1,5,27,3,0,35,0,1,0.0,0,0,26,1,Matches
240,Joško Gvardiol,DF,hr Croatia,20,2002,7.7,602,85,273,312,21,4,602,1,2,50.0,1,2,422,3,Matches
241,Asiri Haitham,FW,sa Saudi Arabia,21,2001,0.0,5,1,2,2,1,0,5,0,0,,0,0,1,0,Matches
242,Ehsan Hajsafi,"MF,DF",ir IR Iran,32,1990,2.6,121,3,34,58,29,3,121,0,2,0.0,2,1,69,2,Matches
243,Achraf Hakimi,DF,ma Morocco,23,1998,7.0,483,25,187,189,115,14,483,2,15,13.3,17,8,279,18,Matches
244,Abderrazak Hamdallah,FW,ma Morocco,31,1990,0.8,27,2,2,14,12,5,27,2,3,66.7,4,3,18,3,Matches
245,Abdelkarim Hassan,DF,qa Qatar,28,1993,3.0,195,15,84,95,18,3,195,1,5,20.0,2,0,138,1,Matches
246,Ali Al Hassan,MF,sa Saudi Arabia,25,1997,0.5,15,1,4,8,3,1,15,0,0,,1,1,5,0,Matches
247,Abdulaziz Hatem,MF,qa Qatar,31,1990,2.2,98,1,13,65,20,0,98,1,1,100.0,1,1,80,2,Matches
248,Kai Havertz,FW,de Germany,23,1999,1.1,45,0,1,18,27,11,45,0,0,,4,0,37,8,Matches
249,Hassan Al-Haydos,MF,qa Qatar,31,1990,2.3,102,1,25,51,28,0,102,2,6,33.3,6,3,72,7,Matches
250,Eden Hazard,MF,be Belgium,31,1991,1.4,70,0,9,39,24,2,70,5,10,50.0,5,5,56,4,Matches
251,Thorgan Hazard,FW,be Belgium,29,1993,1.2,70,0,12,28,31,2,70,0,2,0.0,4,0,39,9,Matches
252,Hwang Hee-chan,"MF,FW",kr Korea Republic,26,1996,1.3,83,0,12,21,52,7,83,3,10,30.0,5,3,68,7,Matches
253,Jordan Henderson,MF,eng England,31,1990,3.0,178,1,19,101,60,5,178,0,2,0.0,1,1,144,9,Matches
254,Wayne Hennessey,GK,wls Wales,35,1987,1.9,68,61,67,1,0,0,68,0,0,,0,0,27,0,Matches
255,Lucas Hernández,DF,fr France,26,1996,0.1,10,0,1,8,1,0,10,0,0,,0,0,6,1,Matches
256,Theo Hernández,DF,fr France,24,1997,5.6,386,13,88,199,100,8,386,2,5,40.0,6,5,249,13,Matches
257,Héctor Herrera,MF,mx Mexico,32,1990,1.8,92,2,11,63,19,1,92,0,1,0.0,2,1,54,4,Matches
258,Son Heung-min,"FW,MF",kr Korea Republic,29,1992,4.0,165,2,20,42,105,20,165,3,15,20.0,8,6,108,25,Matches
259,Piero Hincapié,DF,ec Ecuador,20,2002,3.0,227,11,123,100,4,0,227,0,0,,4,0,167,0,Matches
260,Jonas Hofmann,FW,de Germany,29,1992,0.3,26,0,1,11,14,3,26,0,1,0.0,0,2,18,1,Matches
261,Junior Hoilett,"FW,MF",ca Canada,32,1990,1.8,81,0,6,36,40,2,81,2,7,28.6,5,2,48,6,Matches
262,Martin Hongla,MF,cm Cameroon,24,1998,1.3,73,4,17,45,12,1,73,2,3,66.7,0,0,54,3,Matches
263,Ricardo Horta,FW,pt Portugal,27,1994,1.3,55,1,8,17,30,6,55,0,0,,2,0,37,7,Matches
264,Hossein Hosseini,GK,ir IR Iran,29,1992,1.8,49,44,49,0,0,0,49,0,0,,0,0,16,0,Matches
265,Majid Hosseini,DF,ir IR Iran,25,1996,3.0,137,25,91,47,0,0,137,0,0,,1,1,61,0,Matches
266,Ajdin Hrustic,"MF,FW",au Australia,25,1996,0.7,32,3,6,15,12,1,32,1,4,25.0,2,1,21,4,Matches
267,Atiba Hutchinson,MF,ca Canada,39,1983,1.8,130,5,38,71,21,2,130,1,1,100.0,1,2,92,0,Matches
268,Pierre Højbjerg,MF,dk Denmark,26,1995,3.0,250,13,56,176,20,0,250,1,2,50.0,3,2,179,4,Matches
269,Romario Ibarra,MF,ec Ecuador,27,1994,0.8,23,1,4,13,7,2,23,1,1,100.0,3,1,14,4,Matches
270,Ivan Ilić,MF,rs Serbia,21,2001,0.4,23,0,6,13,4,0,23,0,0,,1,1,16,1,Matches
271,Hwang In-beom,MF,kr Korea Republic,25,1996,3.7,275,1,44,157,75,0,275,0,5,0.0,4,0,202,5,Matches
272,Jackson Irvine,"MF,FW",au Australia,29,1993,3.9,171,9,39,99,33,3,171,0,2,0.0,5,6,97,4,Matches
273,Ko Itakura,DF,jp Japan,25,1997,3.0,152,21,66,80,9,5,152,0,2,0.0,4,1,91,1,Matches
274,Hiroki Ito,DF,jp Japan,23,1999,0.5,64,0,9,48,7,0,64,0,0,,0,0,51,1,Matches
275,Junya Ito,"MF,FW",jp Japan,29,1993,3.6,135,6,42,49,47,4,135,2,8,25.0,6,3,70,8,Matches
276,Yahya Jabrane,MF,ma Morocco,30,1991,0.2,,,,,,,,,,,,,,,Matches
277,Nicolas Jackson,FW,sn Senegal,20,2001,0.2,11,0,5,2,4,1,11,0,0,,1,0,9,2,Matches
278,Lee Jae-sung,"MF,FW",kr Korea Republic,29,1992,2.3,115,3,18,58,40,1,115,2,3,66.7,2,0,83,9,Matches
279,Alireza Jahanbakhsh,MF,ir IR Iran,28,1993,0.7,27,0,6,12,9,1,27,1,1,100.0,1,0,13,3,Matches
280,Kristijan Jakić,FW,hr Croatia,25,1997,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches
281,Ismail Jakobs,DF,sn Senegal,22,1999,3.1,187,7,63,78,46,0,187,0,1,0.0,2,1,85,2,Matches
282,Abolfazl Jalali,DF,ir IR Iran,23,1998,0.2,34,1,5,18,12,0,34,1,5,20.0,0,1,18,1,Matches
283,Daniel James,"FW,MF",wls Wales,24,1997,1.7,49,1,4,23,22,2,49,1,4,25.0,4,1,35,7,Matches
284,Vincent Janssen,FW,nl Netherlands,27,1994,1.0,32,1,1,12,19,4,32,1,1,100.0,4,1,22,5,Matches
285,Ardon Jasari,FW,ch Switzerland,19,2002,0.0,8,0,1,5,2,0,8,0,1,0.0,0,0,5,0,Matches
286,Issam Jebali,FW,tn Tunisia,30,1991,2.0,60,3,9,27,27,9,60,1,2,50.0,8,7,42,10,Matches
287,Artur Jędrzejczyk,DF,pl Poland,34,1987,0.2,5,0,2,3,0,0,5,0,0,,0,0,3,0,Matches
288,Mathias Jensen,MF,dk Denmark,26,1996,0.9,77,0,10,47,20,3,77,1,1,100.0,2,0,60,6,Matches
289,Gabriel Jesus,FW,br Brazil,25,1997,1.0,39,0,0,12,27,6,39,1,2,50.0,2,0,25,4,Matches
290,Raúl Jiménez,FW,mx Mexico,31,1991,0.7,37,1,3,16,18,3,37,0,0,,2,0,24,4,Matches
291,Kim Jin-su,DF,kr Korea Republic,30,1992,3.5,177,9,50,60,68,10,177,0,2,0.0,4,0,97,8,Matches
292,Brennan Johnson,"FW,MF",wls Wales,21,2001,1.0,33,2,6,6,21,7,33,0,5,0.0,3,2,18,5,Matches
293,Alistair Johnston,DF,ca Canada,23,1998,3.0,212,8,61,106,46,5,212,1,1,100.0,4,1,121,4,Matches
294,Frenkie de Jong,MF,nl Netherlands,25,1997,5.3,412,13,83,256,76,3,412,3,6,50.0,5,4,303,7,Matches
295,Luuk de Jong,FW,nl Netherlands,31,1990,0.6,19,1,1,10,8,2,19,0,1,0.0,0,2,14,4,Matches
296,Luka Jović,FW,rs Serbia,24,1997,0.4,15,0,1,2,12,4,15,0,0,,0,1,12,4,Matches
297,Son Jun-ho,"MF,DF",kr Korea Republic,30,1992,0.8,68,2,17,49,2,0,68,0,0,,0,0,46,2,Matches
298,Vinicius Júnior,FW,br Brazil,21,2000,3.3,135,3,11,42,83,19,135,5,15,33.3,8,11,106,22,Matches
299,Josip Juranović,DF,hr Croatia,26,1995,6.7,461,33,123,232,110,3,461,1,4,25.0,7,4,288,20,Matches
300,Daichi Kamada,"FW,MF",jp Japan,25,1996,3.6,139,4,20,75,45,4,139,3,4,75.0,4,7,96,15,Matches
301,Jakub Kamiński,MF,pl Poland,20,2002,2.6,93,5,17,37,43,8,93,2,5,40.0,4,6,49,4,Matches
302,Hossein Kanaanizadegan,DF,ir IR Iran,28,1994,0.5,15,2,10,5,0,0,15,0,0,,0,0,7,0,Matches
303,Harry Kane,FW,eng England,28,1993,4.5,142,8,10,61,72,13,140,4,8,50.0,10,5,112,23,Matches
304,Lee Kangin,"MF,FW",kr Korea Republic,21,2001,1.6,92,0,8,43,42,2,92,1,2,50.0,2,3,61,4,Matches
305,Mohamed Kanno,"MF,FW",sa Saudi Arabia,27,1994,3.0,187,11,32,108,48,6,187,5,10,50.0,6,1,118,7,Matches
306,Fran Karačić,DF,au Australia,26,1996,1.0,70,6,24,31,15,1,70,0,0,,1,0,22,0,Matches
307,Ali Karimi,MF,ir IR Iran,28,1994,1.1,55,2,10,33,12,1,55,0,0,,1,0,36,3,Matches
308,Mark-Anthony Kaye,MF,ca Canada,27,1994,0.7,68,0,10,49,9,0,68,0,0,,0,0,57,2,Matches
309,Wajdi Kechrida,DF,tn Tunisia,26,1995,1.2,84,4,29,26,30,1,84,0,3,0.0,1,3,42,7,Matches
310,Thilo Kehrer,DF,de Germany,25,1996,0.8,43,3,21,14,8,0,43,0,0,,1,0,20,1,Matches
311,Bilal El Khannous,MF,ma Morocco,18,2004,0.6,29,2,8,13,8,0,29,0,1,0.0,1,0,23,1,Matches
312,Wahbi Khazri,"FW,MF",tn Tunisia,31,1991,0.9,37,0,5,12,20,5,37,0,3,0.0,3,2,21,7,Matches
313,Musab Kheder,DF,qa Qatar,28,1993,0.1,5,0,2,2,1,0,5,0,0,,1,0,3,1,Matches
314,Boualem Khoukhi,DF,qa Qatar,31,1990,3.0,232,52,151,77,5,4,232,0,3,0.0,2,1,155,0,Matches
315,Joshua Kimmich,"MF,DF",de Germany,27,1995,3.0,302,9,52,165,85,4,302,1,4,25.0,3,3,207,11,Matches
316,Jakub Kiwior,DF,pl Poland,22,2000,3.9,235,31,139,93,3,2,235,0,0,,2,1,167,0,Matches
317,Simon Kjær,DF,dk Denmark,33,1989,0.7,68,4,28,39,1,0,68,0,0,,1,0,45,0,Matches
318,Davy Klaassen,"MF,FW",nl Netherlands,29,1993,2.1,96,2,17,45,34,6,96,0,1,0.0,4,3,66,9,Matches
319,Lukas Klostermann,DF,de Germany,26,1996,0.7,57,1,17,28,12,0,57,0,0,,0,0,34,1,Matches
320,Gregor Kobel,GK,ch Switzerland,24,1997,1.0,30,29,30,0,0,0,30,0,0,,0,0,10,0,Matches
321,Koke,MF,es Spain,30,1992,0.6,68,0,5,54,9,0,68,0,0,,1,0,60,1,Matches
322,Randal Kolo Muani,FW,fr France,23,1998,2.0,75,1,5,28,43,10,75,3,10,30.0,8,6,48,9,Matches
323,Ibrahima Konaté,DF,fr France,23,1999,3.3,278,25,107,170,5,2,278,0,0,,3,2,207,1,Matches
324,Ismaël Koné,"MF,DF",ca Canada,20,2002,1.2,103,1,15,77,11,0,103,1,2,50.0,0,0,91,2,Matches
325,Teun Koopmeiners,MF,nl Netherlands,24,1998,2.4,147,7,32,94,21,0,147,1,2,50.0,2,4,99,7,Matches
326,Filip Kostić,DF,rs Serbia,29,1992,2.0,129,2,18,56,56,11,129,0,1,0.0,3,1,72,12,Matches
327,Kalidou Koulibaly,DF,sn Senegal,30,1991,4.0,261,48,152,108,6,3,261,0,0,,1,1,139,0,Matches
328,Jules Koundé,DF,fr France,23,1998,5.3,352,17,124,176,54,2,352,3,4,75.0,3,2,216,1,Matches
329,Cheikhou Kouyaté,MF,sn Senegal,32,1989,0.8,35,5,11,16,8,0,35,1,1,100.0,1,0,18,2,Matches
330,Mateo Kovačić,MF,hr Croatia,28,1994,7.1,524,5,81,347,106,13,524,11,20,55.0,10,7,403,16,Matches
331,Andrej Kramarić,"FW,MF",hr Croatia,30,1991,5.3,215,0,12,93,114,16,215,4,8,50.0,7,6,180,32,Matches
332,Grzegorz Krychowiak,MF,pl Poland,32,1990,3.7,164,9,36,107,22,4,164,1,3,33.3,7,0,91,1,Matches
333,Takefusa Kubo,FW,jp Japan,21,2001,1.0,22,1,4,10,9,4,22,0,0,,5,1,13,0,Matches
334,Pierre Kunde,MF,cm Cameroon,26,1995,1.5,71,6,19,44,11,3,71,0,1,0.0,2,3,34,1,Matches
335,Garang Kuol,"FW,MF",au Australia,17,2004,0.4,10,0,1,4,5,2,10,0,2,0.0,1,0,7,3,Matches
336,Daniel Kyereh,"MF,DF",gh Ghana,26,1996,0.4,31,3,9,10,12,0,31,2,2,100.0,1,2,18,2,Matches
337,Kwon Kyung-won,DF,kr Korea Republic,30,1992,1.0,54,11,31,21,2,0,54,0,0,,0,0,36,0,Matches
338,Aïssa Laïdouni,MF,tn Tunisia,25,1996,2.7,157,9,53,78,28,6,157,1,4,25.0,4,3,92,9,Matches
339,Tariq Lamptey,DF,gh Ghana,21,2000,1.1,51,7,23,18,11,1,51,0,3,0.0,1,1,17,3,Matches
